Title,Location,Price,Area
Apartment Ruysdaelstraat,                        1071 XD Amsterdam (Museumkwartier)        ,"                    €1,800 per month                ",67 m²
Apartment Luzacstraat,                        1051 JB Amsterdam (Staatsliedenbuurt)        ,"                    €1,650 per month                ",60 m²
Apartment Prinsengracht,                        1015 DS Amsterdam (Grachtengordel-West)        ,"                    €1,650 per month                ",77 m²
Apartment Van der Hoopstraat 86 2,                        1051 VL Amsterdam (Staatsliedenbuurt)        ,"                    €1,475 per month                ",42 m²
Apartment Van Bossestraat 69 4,                        1051 JV Amsterdam (Staatsliedenbuurt)        ,"                    €1,500 per month                ",48 m²
Apartment Leeuwendalersweg,                        1061 BH Amsterdam (De Kolenkit)        ,"                    €1,950 per month                ",124 m²
Apartment Overtoom,                        1054 JZ Amsterdam (Overtoomse Sluis)        ,"                    €1,950 per month                ",80 m²
House Kiekstraat,                        1087 GK Amsterdam (IJburg West)        ,"                    €1,950 per month                ",130 m²
Apartment Lauriergracht,                        1016 RV Amsterdam (Jordaan)        ,"                    €1,475 per month                ",48 m²
Apartment Govert Flinckstraat,                        1073 CH Amsterdam (Oude Pijp)        ,"                    €2,950 per month                ",95 m²
Apartment Oranje-Vrijstaatplein,                        1093 NG Amsterdam (Dapperbuurt)        ,"                    €1,850 per month                ",80 m²
Apartment Amerbos,                        1025 ZR Amsterdam (Buikslotermeer)        ,"                    €1,650 per month                ",85 m²
Apartment Nicolaas Maesstraat 90 II,                        1071 RE Amsterdam (Museumkwartier)        ,"                    €2,450 per month                ",70 m²
Apartment Eerste Helmersstraat,                        1054 EH Amsterdam (Helmersbuurt)        ,"                    €2,750 per month                ",110 m²
Apartment Valkenburgerstraat,                        1011 NC Amsterdam (Nieuwmarkt/Lastage)        ,"                    €2,450 per month                ",85 m²
Apartment Frissenstein,"                        1102 AP Amsterdam (Bijlmer Centrum (D,F,H))        ","                    €1,600 per month                ",100 m²
Apartment Rooseveltlaan,                        1078 NP Amsterdam (Scheldebuurt)        ,"                    €1,650 per month                ",42 m²
House Pasteurstraat 51 boven,                        1097 ES Amsterdam (Frankendael)        ,"                    €2,250 per month                ",130 m²
Apartment Mr. P.N. Arntzeniusweg 61 I,                        1098 GL Amsterdam (Middenmeer)        ,"                    €1,850 per month                ",110 m²
House Pedro Nunesstraat 6,                        1086 XX Amsterdam (IJburg West)        ,"                    €2,550 per month                ",137 m²
Apartment Nieuwezijds Voorburgwal 28 B,                        1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                    €1,750 per month                ",50 m²
Apartment Van Tuyll van Serooskerkenweg,                        1076 JC Amsterdam (Stadionbuurt)        ,"                    €1,850 per month                ",65 m²
Apartment Nieuwendammerdijk,                        1025 LR Amsterdam (Nieuwendammerdijk/Buiksloterdijk)        ,"                    €1,800 per month                ",60 m²
Apartment Pieter Aertszstraat,                        1074 VP Amsterdam (Nieuwe Pijp)        ,"                    €1,800 per month                ",63 m²
Apartment Merckenburg 14,                        1082 BT Amsterdam (Buitenveldert-West)        ,"                    €1,750 per month                ",63 m²
Apartment Herenmarkt 14 C,                        1013 ED Amsterdam (Haarlemmerbuurt)        ,"                    €3,500 per month                ",150 m²
Apartment Valeriusstraat,                        1075 ET Amsterdam (Willemspark)        ,"                    €2,150 per month                ",85 m²
Apartment Nieuwezijds Voorburgwal 258 3,                        1012 RS Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                    €1,600 per month                ",60 m²
Apartment Kostverlorenstraat,                        1052 GW Amsterdam (Frederik Hendrikbuurt)        ,"                    €1,750 per month                ",59 m²
Apartment Revaleiland,                        1014 ZG Amsterdam (Houthavens)        ,"                    €2,750 per month                ",107 m²
Apartment Eerste Atjehstraat 99 2,                        1094 KE Amsterdam (Indische Buurt West)        ,"                    €1,400 per month                ",42 m²
